1,1954,1
2,1955,2
3,1956,3
4,1957,4
5,1958,5
6,1959,6
7,1960,7
8,1961,8
9,1962,9
10,1963,10
11,1964,11
12,1965,12
13,1966,13
14,1967,14
15,1968,15
16,1969,16
17,1970,17
18,1971,18
19,1972,19
20,1973,20
21,1974,21
22,1975,22
23,1976,23
24,1977,24
25,1978,25
26,1979,26
27,1980,27
28,1981,28
29,1982,29
30,1983,30
31,1984,31
32,1985,32
33,1986,33
34,1987,34
35,1988,35
36,1989,36
37,1990,37
38,1991,38
39,1992,39
40,1993,40
41,1994,41
42,1995,42
43,1996,43
44,1997,44
45,1998,45
46,1999,46
47,2000,47
48,2001,48
49,2002,49
50,2003,50
51,2004,51
52,2005,52
53,2006,53
54,2007,54
55,2008,55
56,2009,56
57,2010,57
58,2011,58
59,2012,59
60,2013,60
61,2014,61
62,2015,62
63,2016,63
64,2017,64
65,2018,65
66,2019,66
